direct summation or ljts,number of atoms,average runtime,minimum runtime,maximum runtime,corrected sample standard deviation
ljts,50,4577.5,3491,11813,2561.775697094151
ljts,100,4861.5,4618,5322,217.71860023638055
ljts,150,6714,5642,8732,912.9473637011549
ljts,200,7499.3,6145,9424,1033.8468670187306
ljts,250,7286.1,6525,8989,889.9641003995611
ljts,300,8785.8,7254,11784,1539.8970961290456
ljts,350,8368.1,7881,10726,854.6832356688255
ljts,400,10278,8658,16799,2750.896217598912
ljts,450,10909.9,9121,13488,1745.7103902614165
ljts,500,13990.5,13149,14662,533.4371253171893
ljts,550,15896.8,15448,17148,535.4493025073014
ljts,600,17883.8,16569,20069,1200.492287910811
ljts,650,18216.9,17624,19202,487.16696886750805
ljts,700,17332.3,14154,18901,1730.0326939749498
ljts,750,13702,13307,15082,513.9517919459416
ljts,800,13686.5,12629,15051,901.5976252063765
ljts,850,13739.9,12994,14286,451.41664666789694
ljts,900,15188.9,12859,19865,2187.041250944603
ljts,950,14732.6,14172,15118,300.95854273378654
ljts,1000,14678.2,13941,15283,520.460864149372
direct,50,2933.6,2839,3109,101.87268743114832
direct,100,3926.8,3598,4267,268.146643130624
direct,150,4961.5,4435,6470,667.1781787665288
direct,200,6097,5212,8456,1192.0428776777378
direct,250,6198.9,5928,6909,352.42570533060973
direct,300,7882.4,7116,10779,1090.2996733824043
direct,350,8937.1,8276,10409,613.6706409431329
direct,400,10551.3,9292,15720,1958.5404457855288
direct,450,11674.7,10502,15391,1436.6658971382317
direct,500,13513.1,12310,15689,1280.2106988044325
direct,550,14524.7,13911,16190,730.9540265221124
direct,600,16326.5,15143,21709,1991.287090747534
direct,650,17790.5,16873,20343,1131.8452240086147
direct,700,21069.5,19323,23864,1735.1487448246812
direct,750,22862.5,20957,26237,1799.8924813567182
direct,800,24704.4,23531,27058,1224.4751437974467
direct,850,26634.5,25224,29431,1308.6008006858149
direct,900,29063.2,27817,30557,913.8559088949538
direct,950,32336.3,30922,35809,1549.883798511646
direct,1000,33249,32376,34258,613.3795272459331
